Distance,Azimuth,Elevation,r/p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
117658.31669007428,118.2498575444193,0,p
